case_id,solution[ProblemType],problemType,os.path.exists(resultsFileName),"globalParameters[""ForceRedoBenchmarkProblems""]",cachePath,os,file
0,"""matches_config_problemType""","""matches_kernel_problemType""",false,false,"""__nonexistent__""","""os""","""/opt/rocm/bin/amdclang++"""
1,"""matches_config_problemType""","""differs_from_kernel_problemType""",true,true,"""__existing_regular_file__""","""os""","""amdclang++"""
2,"""differs_from_config_problemType""","""matches_kernel_problemType""",false,true,"""__nonexistent__""","""os""","""amdclang++"""
3,"""differs_from_config_problemType""","""differs_from_kernel_problemType""",true,false,"""__existing_regular_file__""","""os""","""/opt/rocm/bin/amdclang++"""
4,"""matches_config_problemType""","""matches_kernel_problemType""",true,false,"""__nonexistent__""","""os""","""./amdclang++"""
5,"""matches_config_problemType""","""matches_kernel_problemType""",false,false,"""__existing_regular_file__""","""os""","""C:/Program Files/AMD/ROCm/5.7/bin/clang++.exe"""
6,"""differs_from_config_problemType""","""differs_from_kernel_problemType""",false,true,"""__nonexistent__""","""os""","""./amdclang++"""
7,"""differs_from_config_problemType""","""differs_from_kernel_problemType""",true,true,"""__nonexistent__""","""os""","""C:/Program Files/AMD/ROCm/5.7/bin/clang++.exe"""
8,"""matches_config_problemType""","""matches_kernel_problemType""",false,false,"""__nonexistent__""","""os""","""amdclang++"""
9,"""matches_config_problemType""","""matches_kernel_problemType""",false,true,"""__nonexistent__""","""os""","""/opt/rocm/bin/amdclang++"""
10,"""matches_config_problemType""","""matches_kernel_problemType""",false,false,"""__existing_regular_file__""","""os""","""./amdclang++"""
