block_size,call_idx,ckdsl_compile_backend,ckdsl_kernel_name,ckdsl_latency_ms,ckdsl_policy,ckdsl_tflops,dtype,head_size,iterations,max_seqlen_k,max_seqlen_q,num_seqs,shape_signature,sliding_window,speedup_triton_over_ckdsl,total_q,triton_kernel_name,triton_latency_ms,triton_tflops,warmup
32,0,llvm,ck_dsl_uattn2d_tiled_d64_b32_t64_h64kv8_bf16_sinks_sw128_w4_mw32_mfma32_stqk,0.018763020038604736,R4_fallback,111.77049300619674,torch.bfloat16,64,100,1000,1000,1,d64_b32_h64kv8_q1000_k1000_ns1_tq1000_sw128_sc0_sinks1_bfloat16,128,1.5227127667212088,1000,unified_attention_2d,0.028570690155029298,73.40221704902844,10
32,0,llvm,ck_dsl_uattn2d_tiled_d64_b32_t64_h64kv8_bf16_sinks_w4_mw32_mfma32_stqk_s1_mask1_hlpv_skipqreg_mlim_fastkvdesc,0.041514291763305664,R4_s1mask_hlpv_combo,197.5269636479291,torch.bfloat16,64,100,1000,1000,1,d64_b32_h64kv8_q1000_k1000_ns1_tq1000_sw0_sc0_sinks1_bfloat16,0,0.8344779419855647,1000,unified_attention_2d,0.03464276075363159,236.7072318028342,10
32,102,llvm,ck_dsl_uattn2d_tiled_d64_b32_t64_h64kv8_bf16_sinks_sw128_w4_mw32_mfma32_stqk,0.16539514541625977,R4_fallback,103.8716652823298,torch.bfloat16,64,100,1002,1000,10,d64_b32_h64kv8_q1000_k1002_ns10_tq8192_sw128_sc0_sinks1_bfloat16,128,0.644644696302322,8192,unified_attention_2d,0.10662110328674317,161.1301014002551,10
32,3570,llvm,ck_dsl_uattn2d_tiled_d64_b32_t64_h64kv8_bf16_sinks_w4_mw32_mfma32_stqk_s1_mask1_hlpv_skipqreg_mlim_fastkvdesc,0.29501895904541015,R4_s1mask_hlpv_combo,267.93815719427334,torch.bfloat16,64,100,1002,1000,10,d64_b32_h64kv8_q1000_k1002_ns10_tq8192_sw0_sc0_sinks1_bfloat16,0,0.705532119303132,8192,unified_attention_2d,0.2081453514099121,379.767483100445,10
32,103,llvm,ck_dsl_uattn2d_tiled_d64_b32_t64_h64kv8_bf16_sinks_sw128_w4_mw32_mfma32_stqk,0.15633256912231444,R4_fallback,109.89309061094292,torch.bfloat16,64,100,1003,1000,18,d64_b32_h64kv8_q1000_k1003_ns18_tq8192_sw128_sc0_sinks1_bfloat16,128,0.6134832435350022,8192,unified_attention_2d,0.09590741157531739,179.12973462440297,10
32,3605,llvm,ck_dsl_uattn2d_tiled_d64_b32_t64_h64kv8_bf16_sinks_w4_mw32_mfma32_stqk_s1_mask1_hlpv_skipqreg_mlim_fastkvdesc,0.3549749755859375,R4_s1mask_hlpv_combo,281.5772734261431,torch.bfloat16,64,100,1003,1000,18,d64_b32_h64kv8_q1000_k1003_ns18_tq8192_sw0_sc0_sinks1_bfloat16,0,0.6441119059614059,8192,unified_attention_2d,0.22864360809326173,437.15582776855973,10
32,104,llvm,ck_dsl_uattn2d_tiled_d64_b32_t64_h64kv8_bf16_sinks_sw128_w4_mw32_mfma32_stqk,0.15625975608825685,R4_fallback,109.9442979694443,torch.bfloat16,64,100,1004,1000,26,d64_b32_h64kv8_q1000_k1004_ns26_tq8192_sw128_sc0_sinks1_bfloat16,128,0.6134925779475561,8192,unified_attention_2d,0.09586420059204101,179.21047771639513,10
32,3640,llvm,ck_dsl_uattn2d_tiled_d64_b32_t64_h64kv8_bf16_sinks_w4_mw32_mfma32_stqk_s1_mask1_hlpv_skipqreg_mlim_fastkvdesc,0.37641910552978514,R4_s1mask_hlpv_combo,287.4047787126459,torch.bfloat16,64,100,1004,1000,26,d64_b32_h64kv8_q1000_k1004_ns26_tq8192_sw0_sc0_sinks1_bfloat16,0,0.6437550525198577,8192,unified_attention_2d,0.2423217010498047,446.45052118450036,10
32,105,llvm,ck_dsl_uattn2d_tiled_d64_b32_t64_h64kv8_bf16_sinks_sw128_w4_mw32_mfma32_stqk,0.17049392700195312,R4_fallback,100.76528522803744,torch.bfloat16,64,100,1005,1000,34,d64_b32_h64kv8_q1000_k1005_ns34_tq8192_sw128_sc0_sinks1_bfloat16,128,0.6072208638482695,8192,unified_attention_2d,0.10352746963500976,165.9450312517858,10
32,3675,llvm,ck_dsl_uattn2d_tiled_d64_b32_t64_h64kv8_bf16_sinks_w4_mw32_mfma32_stqk_s1_mask1_hlpv_skipqreg_mlim_fastkvdesc,0.3935548400878906,R4_s1mask_hlpv_combo,286.1846404299006,torch.bfloat16,64,100,1005,1000,34,d64_b32_h64kv8_q1000_k1005_ns34_tq8192_sw0_sc0_sinks1_bfloat16,0,0.6603345861761065,8192,unified_attention_2d,0.259877872467041,433.3933833257935,10
